talkid,tablename
1,the_importance_of_human_beings
2,intentionality_in_language_created_realities
5,mushrooms__elves__and_magic
7,dmt__mathematical_dimensions__and_death
8,terence_mckenna_vs__the_black_hole
10,posthumous_glory
11,psychedelics_in_the_age_of_intelligent_machines
12,culture_and_ideology_are_not_your_friends
15,bruce_damer_and_terence_mckenna_in_hawaii
16,linear_societies_and_non_linear_drugs
17,dreaming_awake_at_the_end_of_time
24,live_at_wetlands_preserve__nyc
26,the_future_of_art
27,in_the_valley_of_novelty
28,lectures_on_alchemy
30,i_ching__habit___novelty
31,light_of_the_third_millenium
35,surfing_the_fractal_wave_at_the_end_of_history
38,appreciating_imagination
40,luc_sala__on_drugs__interview
41,the_evolutionary_importance_of_technology
43,poets_and_prophesiers
44,live_at_st__john_the_divine_s_cathedral__synod_hall
45,poolside_interview
46,the_winter_king__aka_shamanism__alchemy__and_the_20th_century_
48,evolving_times
49,plants__consciousness__and_transformation
51,riding_the_range_with_marshall_mcluhan
52,state_of_the_stone
53,surfing_on_finnegans_wake
54,_aka_this_counts__somehow_it_matters___a_higher_dimensional_sec
55,rap_dancing_into_the_third_millenium
57,conversations_on_the_edge_of_magic
59,permitting_smart_people_to_hope
62,eros_and_the_eschaton
63,aka_monogamy__marriage__and_neurosis
64,aka_nothing_lasts
69,the_world_and_its_double
70,aka_the_psychedelic__religious__agenda
73,live_in_new_york
74,mushrooms__sex_and_society
75,alien_footprints___leprechauns__elves__or_dead_souls_
77,alien_dreamtime
78,taxonomy_of_illusion
81,imagination_in_the_light_of_nature
84,camden_centre_talk
89,a_conversation_with_terence_mckenna_and_ram_dass
90,hermeticism___alchemy
91,mind___time__spirit___matter
92,mushrooms__evolution_and_the_millenium
93,time_travel__psychedelics__and_physics
95,unfolding_the_stone___making_and_unmaking_history_and_language
97,address_to_the_jung_society
99,exploring_the_hermetic_tradition
102,opening_the_doors_of_creativity
104,the_world_could_be_anything
105,time_and_mind
107,aka_loose_ends_time
108,aka_the_psychedelic_option
109,aka_a_stiff_dose_of_psychedelics
110,touched_by_the_tremendum
111,terence_mckenna_live_in_maryland
117,aka_psychedelics_and_the_feminine
118,aka_a_psychedelic_point_of_view
119,aka_the_evolution_of_a_psychedelic_thinker
120,a_survey_of_shamanic_options
121,psychedelics_and_the_chaos_revolution
126,mushrooms__elves_and_magic
128,vision_plants___the_transpersonal_challenge
130,places_i_have_been
133,the_light_in_nature
134,aliens_and_archetypes
135,the_human_future
136,time_and_the_i_ching
137,hallucinogens___culture
138,ethnobotany_of_shamanism
139,ethnobotany_and_shamanism___psychedelics_before_and_after_histo
141,nature_is_the_center_of_the_mandala
142,aka_suggested_reading_list
143,shamanic_approaches_to_the_ufo
144,what_s_so_great_about_mushrooms_
146,the_rites_of_spring
147,the_invisible_landscape__peer_review_
148,cauldron_chemistry_interview
149,the_gnostic_astronaut
150,psychedelic_society
151,shamanology
152,new_maps_of_hyperspace
153,the_transformations_of_language_under_the_influence_of_the_psyc
154,the_syntax_of_psychedelic_time
155,dynamics_of_hyperspace
156,a_necessary_chaos
157,new_dimensions_radio_interview__aka_towards_the_unknown_
158,hallucinogens_before_and_after_psychology__aka_beyond_psycholog
159,the_definitive_ufo_tape
160,the_voynich_manuscript
161,alien_love
162,psilocybin_and_the_sands_of_time
163,tryptamine_hallucinogens_and_consciousness
164,new_and_old_maps_of_hyperspace
