id,word,countsize,length,texts_aggregated,wcavg
1,institutional,9,13,100,0.09
2,understand,524,10,100,5.24
3,greater,130,7,100,1.3
4,don,2096,3,100,20.96
5,maintain,73,8,100,0.73
6,higher,360,6,100,3.6
7,time,2252,4,100,22.52
8,evident,15,7,100,0.15
9,refer,21,5,100,0.21
10,advanced,96,8,100,0.96
11,government,99,10,100,0.99
12,entirely,172,8,100,1.72
13,place,644,5,100,6.44
14,going,1506,5,100,15.06
15,notion,460,6,100,4.6
16,isn,402,3,100,4.02
17,death,343,5,100,3.43
18,universe,590,8,100,5.9
19,tail,19,4,100,0.19
20,simply,483,6,100,4.83
21,conscious,91,9,100,0.91
22,wealth,31,6,100,0.31
23,constipated,19,11,100,0.19
24,own,686,3,100,6.86
25,each,537,4,100,5.37
26,view,316,4,100,3.16
27,low,129,3,100,1.29
28,immense,64,7,100,0.64
29,computer,165,8,100,1.65
30,idea,800,4,100,8.0
31,smooth,31,6,100,0.31
32,unknowable,10,10,100,0.1
33,next,259,4,100,2.59
34,perceive,49,8,100,0.49
35,irrelevant,11,10,100,0.11
36,mathematics,150,11,100,1.5
37,american,123,8,100,1.23
38,map,86,3,100,0.86
39,grade,12,5,100,0.12
40,tell,408,4,100,4.08
41,interesting,565,11,100,5.65
42,notice,143,6,100,1.43
43,look,601,4,100,6.01
44,linear,73,6,100,0.73
45,tone,33,4,100,0.33
46,anxiety,66,7,100,0.66
47,a,22087,1,100,220.87
48,matrix,77,6,100,0.77
49,come,876,4,100,8.76
50,consciousness,485,13,100,4.85
51,us,1841,2,100,18.41
52,accumulation,20,12,100,0.2
53,seek,53,4,100,0.53
54,up,1476,2,100,14.76
55,i,15823,1,100,158.23
56,history,1056,7,100,10.56
57,new,774,3,100,7.74
58,t,4687,1,100,46.87
59,s,11361,1,100,113.61
60,feeling,201,7,100,2.01
61,reclaim,16,7,100,0.16
62,world,1661,5,100,16.61
63,yet,465,3,100,4.65
64,hideously,6,9,100,0.06
65,least,229,5,100,2.29
66,become,523,6,100,5.23
67,terms,265,5,100,2.65
68,supposed,66,8,100,0.66
69,by,2864,2,100,28.64
70,consumer,32,8,100,0.32
71,long,486,4,100,4.86
72,boundary,100,8,100,1.0
73,must,544,4,100,5.44
74,who,1861,3,100,18.61
75,affected,9,8,100,0.09
76,future,591,6,100,5.91
77,perspective,59,11,100,0.59
78,fetish,10,6,100,0.1
79,be,5601,2,100,56.01
80,amoeba,3,6,100,0.03
81,get,1344,3,100,13.44
82,so,5580,2,100,55.8
83,maintenance,11,11,100,0.11
84,mouth,109,5,100,1.09
85,dimensional,313,11,100,3.13
86,impossibility,7,13,100,0.07
87,gone,123,4,100,1.23
88,co,62,2,100,0.62
89,rising,39,6,100,0.39
90,dysfunctional,15,13,100,0.15
91,vise,2,4,100,0.02
92,make,973,4,100,9.73
93,hope,181,4,100,1.81
94,gallop,2,6,100,0.02
95,guidance,14,8,100,0.14
96,sex,105,3,100,1.05
97,weight,26,6,100,0.26
98,can,3920,3,100,39.2
99,horse,34,5,100,0.34
100,evidence,116,8,100,1.16
101,about,3986,5,100,39.86
102,stimulus,9,8,100,0.09
103,tried,67,5,100,0.67
104,well,2491,4,100,24.91
105,sun,65,3,100,0.65
106,response,60,8,100,0.6
107,intellectually,21,14,100,0.21
108,above,93,5,100,0.93
109,experience,1370,10,100,13.7
110,attention,189,9,100,1.89
111,all,4665,3,100,46.65
112,argue,55,5,100,0.55
113,speed,127,5,100,1.27
114,society,537,7,100,5.37
115,happening,415,9,100,4.15
116,at,3497,2,100,34.97
117,as,5284,2,100,52.84
118,still,321,5,100,3.21
119,illusion,100,8,100,1.0
120,moved,73,5,100,0.73
121,entire,232,6,100,2.32
122,great,877,5,100,8.77
123,see,1479,3,100,14.79
124,widen,1,5,100,0.01
125,take,1011,4,100,10.11
126,an,4001,2,100,40.01
127,assimilating,4,12,100,0.04
128,dissolution,60,11,100,0.6
129,why,798,3,100,7.98
130,out,2515,3,100,25.15
131,very,2996,4,100,29.96
132,falling,52,7,100,0.52
133,people,3162,6,100,31.62
134,center,123,6,100,1.23
135,course,328,6,100,3.28
136,hierarchical,16,12,100,0.16
137,frightening,22,11,100,0.22
138,are,7010,3,100,70.1
139,social,395,6,100,3.95
140,toxic,80,5,100,0.8
141,only,1130,4,100,11.3
142,on,5406,2,100,54.06
143,move,275,4,100,2.75
144,compelling,15,10,100,0.15
145,information,521,11,100,5.21
146,structure,154,9,100,1.54
147,or,4106,2,100,41.06
148,compare,24,7,100,0.24
149,inevitability,6,13,100,0.06
150,like,3202,4,100,32.02
151,third,111,5,100,1.11
152,goal,82,4,100,0.82
153,novelty,394,7,100,3.94
154,not,4538,3,100,45.38
155,now,1731,3,100,17.31
156,thinking,370,8,100,3.7
157,then,3200,4,100,32.0
158,culmination,30,11,100,0.3
159,some,1986,4,100,19.86
160,virtual,124,7,100,1.24
161,different,599,9,100,5.99
162,acquisitive,1,11,100,0.01
163,moment,527,6,100,5.27
164,cultural,563,8,100,5.63
165,most,923,4,100,9.23
166,easily,77,6,100,0.77
167,self,520,4,100,5.2
168,space,677,5,100,6.77
169,build,142,5,100,1.42
170,trying,331,6,100,3.31
171,kind,1812,4,100,18.12
172,exacerbating,2,12,100,0.02
173,character,83,9,100,0.83
174,looking,282,7,100,2.82
175,union,52,5,100,0.52
176,fiction,84,7,100,0.84
177,primitive,99,9,100,0.99
178,hogwash,1,7,100,0.01
179,mathematical,139,12,100,1.39
180,stead,2,5,100,0.02
181,confidence,15,10,100,0.15
182,unknown,54,7,100,0.54
183,process,472,7,100,4.72
184,point,849,5,100,8.49
185,snake,11,5,100,0.11
186,fractal,89,7,100,0.89
187,based,242,5,100,2.42
188,atom,54,4,100,0.54
189,but,5373,3,100,53.73
190,ego,273,3,100,2.73
191,individual,205,10,100,2.05
192,foot,27,4,100,0.27
193,acceleration,41,12,100,0.41
194,polymorphous,1,12,100,0.01
195,study,108,5,100,1.08
196,actually,867,8,100,8.67
197,race,70,4,100,0.7
198,subtle,34,6,100,0.34
199,contrast,15,8,100,0.15
200,almost,330,6,100,3.3
201,more,2026,4,100,20.26
202,family,147,6,100,1.47
203,phrase,68,6,100,0.68
204,three,346,5,100,3.46
205,shamanism,322,9,100,3.22
206,means,638,5,100,6.38
207,class,90,5,100,0.9
208,peripheral,20,10,100,0.2
209,here,1163,4,100,11.63
210,sense,697,5,100,6.97
211,machine,194,7,100,1.94
212,embedded,92,8,100,0.92
213,stuff,548,5,100,5.48
214,tangent,8,7,100,0.08
215,word,375,4,100,3.75
216,known,192,5,100,1.92
217,administration,18,14,100,0.18
218,call,632,4,100,6.32
219,other,2202,5,100,22.02
220,have,5859,4,100,58.59
221,alloy,2,5,100,0.02
222,one,2623,3,100,26.23
223,purpose,85,7,100,0.85
224,believe,605,7,100,6.05
225,guided,5,6,100,0.05
226,order,325,5,100,3.25
227,poverty,15,7,100,0.15
228,psychedelic,1193,11,100,11.93
229,below,49,5,100,0.49
230,mean,1814,4,100,18.14
231,it,22083,2,100,220.83
232,matter,613,6,100,6.13
233,important,309,9,100,3.09
234,origin,44,6,100,0.44
235,transition,76,10,100,0.76
236,past,405,4,100,4.05
237,in,16692,2,100,166.92
238,know,3688,4,100,36.88
239,human,1895,5,100,18.95
240,away,342,4,100,3.42
241,two,565,3,100,5.65
242,context,161,7,100,1.61
243,scientific,170,10,100,1.7
244,things,1878,6,100,18.78
245,characteristic,10,14,100,0.1
246,also,513,4,100,5.13
247,first,795,5,100,7.95
248,incredibly,85,10,100,0.85
249,advance,44,7,100,0.44
250,hysteria,30,8,100,0.3
251,attended,8,8,100,0.08
252,tend,93,4,100,0.93
253,particular,114,10,100,1.14
254,parts,86,5,100,0.86
255,party,66,5,100,0.66
256,metaphysics,11,11,100,0.11
257,religion,202,8,100,2.02
258,knock,33,5,100,0.33
259,trick,39,5,100,0.39
260,right,635,5,100,6.35
261,mcluhan,123,7,100,1.23
262,multipurpose,1,12,100,0.01
263,poetic,24,6,100,0.24
264,answer,236,6,100,2.36
265,theater,32,7,100,0.32
266,few,233,3,100,2.33
267,bit,132,3,100,1.32
268,project,106,7,100,1.06
269,biological,118,10,100,1.18
270,opening,38,7,100,0.38
271,quality,116,7,100,1.16
272,somebody,305,8,100,3.05
273,steady,19,6,100,0.19
274,moral,74,5,100,0.74
275,unique,131,6,100,1.31
276,behavior,144,8,100,1.44
277,made,705,4,100,7.05
278,interested,245,10,100,2.45
279,concerned,79,9,100,0.79
280,side,171,4,100,1.71
281,recognize,78,9,100,0.78
282,darkened,5,8,100,0.05
283,define,65,6,100,0.65
284,d,260,1,100,2.6
285,stacked,9,7,100,0.09
286,illegal,75,7,100,0.75
287,m,1417,1,100,14.17
288,meaning,309,7,100,3.09
289,burning,49,7,100,0.49
290,holocaust,7,9,100,0.07
291,electronic,79,10,100,0.79
292,taking,305,6,100,3.05
293,essentially,210,11,100,2.1
294,automaton,1,9,100,0.01
295,bird,22,4,100,0.22
296,implacable,1,10,100,0.01
297,magical,151,7,100,1.51
298,dickens,1,7,100,0.01
299,public,92,6,100,0.92
300,medieval,72,8,100,0.72
301,strongly,40,8,100,0.4
302,appalling,21,9,100,0.21
303,physical,197,8,100,1.97
304,precisely,42,9,100,0.42
305,basis,88,5,100,0.88
306,lead,132,4,100,1.32
307,dialogue,79,8,100,0.79
308,inquisition,4,11,100,0.04
309,spoken,54,6,100,0.54
310,leaf,19,4,100,0.19
311,planet,591,6,100,5.91
312,compact,1,7,100,0.01
313,description,93,11,100,0.93
314,technological,102,13,100,1.02
315,biogenic,2,8,100,0.02
316,tank,7,4,100,0.07
317,fortuitously,1,12,100,0.01
318,dissolving,85,10,100,0.85
319,crack,22,5,100,0.22
320,far,429,3,100,4.29
321,double,40,6,100,0.4
322,much,1036,4,100,10.36
323,country,61,7,100,0.61
324,speech,74,6,100,0.74
325,particularly,72,12,100,0.72
326,accustomed,16,10,100,0.16
327,names,28,5,100,0.28
328,taxonomic,10,9,100,0.1
329,active,81,6,100,0.81
330,day,282,3,100,2.82
331,rarified,2,8,100,0.02
332,indication,7,10,100,0.07
333,exercise,29,8,100,0.29
334,through,1456,7,100,14.56
335,pulse,5,5,100,0.05
336,education,50,9,100,0.5
337,generous,5,8,100,0.05
338,possible,343,8,100,3.43
339,following,86,9,100,0.86
340,buzzing,5,7,100,0.05
341,showing,34,7,100,0.34
342,universal,72,9,100,0.72
343,strangling,1,10,100,0.01
344,jabberwocky,2,11,100,0.02
345,locate,19,6,100,0.19
346,activity,170,8,100,1.7
347,population,119,10,100,1.19
348,talk,589,4,100,5.89
349,perceiver,7,9,100,0.07
350,law,85,3,100,0.85
351,obviously,172,9,100,1.72
352,fissure,1,7,100,0.01
353,orthodox,36,8,100,0.36
354,forge,5,5,100,0.05
355,thousand,279,8,100,2.79
356,informed,32,8,100,0.32
357,trappings,3,9,100,0.03
358,neither,26,7,100,0.26
359,therefore,130,9,100,1.3
360,siren,7,5,100,0.07
361,never,666,5,100,6.66
362,expected,27,8,100,0.27
363,advantage,24,9,100,0.24
364,heresy,16,6,100,0.16
365,there,4653,5,100,46.53
366,peace,21,5,100,0.21
367,venture,2,7,100,0.02
368,impressed,13,9,100,0.13
369,lower,70,5,100,0.7
370,knowing,64,7,100,0.64
371,somehow,423,7,100,4.23
372,unquestioningly,1,15,100,0.01
373,sufficient,58,10,100,0.58
374,obvious,88,7,100,0.88
375,help,77,4,100,0.77
376,given,247,5,100,2.47
377,recently,146,8,100,1.46
378,isolate,4,7,100,0.04
379,increment,1,9,100,0.01
380,wild,41,4,100,0.41
381,calvinist,3,9,100,0.03
382,adaptive,15,8,100,0.15
383,hold,147,4,100,1.47
384,privacy,7,7,100,0.07
385,career,60,6,100,0.6
386,insupportable,5,13,100,0.05
387,astonishing,74,11,100,0.74
388,equilibrium,45,11,100,0.45
389,suppose,138,7,100,1.38
390,recant,4,6,100,0.04
391,avenue,18,6,100,0.18
392,siege,13,5,100,0.13
393,will,2185,4,100,21.85
394,scene,61,5,100,0.61
395,pledge,32,6,100,0.32
396,western,275,7,100,2.75
397,getting,232,7,100,2.32
398,television,84,10,100,0.84
399,tropical,35,8,100,0.35
400,thought,610,7,100,6.1
401,meme,56,4,100,0.56
402,clear,225,5,100,2.25
403,reproductive,15,12,100,0.15
404,rather,211,6,100,2.11
405,judaism,16,7,100,0.16
406,built,129,5,100,1.29
407,episcopalianism,1,15,100,0.01
408,note,23,4,100,0.23
409,portion,35,7,100,0.35
410,defining,31,8,100,0.31
411,faith,92,5,100,0.92
412,green,32,5,100,0.32
413,robot,5,5,100,0.05
414,psychologist,13,12,100,0.13
415,recall,51,6,100,0.51
416,club,18,4,100,0.18
417,modular,8,7,100,0.08
418,closing,25,7,100,0.25
419,truly,74,5,100,0.74
420,literally,116,9,100,1.16
421,interior,48,8,100,0.48
422,phonetic,22,8,100,0.22
423,preliterate,17,11,100,0.17
424,innocent,1,8,100,0.01
425,every,525,5,100,5.25
426,elucidate,8,9,100,0.08
427,changed,58,7,100,0.58
428,beast,16,5,100,0.16
429,lewis,4,5,100,0.04
430,required,24,8,100,0.24
431,seriously,115,9,100,1.15
432,authentic,32,9,100,0.32
433,bed,34,3,100,0.34
434,philosophy,109,10,100,1.09
435,psychotherapy,27,13,100,0.27
436,wiring,7,6,100,0.07
437,colombian,8,9,100,0.08
438,telegram,1,8,100,0.01
439,depth,65,5,100,0.65
440,organism,144,8,100,1.44
441,economist,4,9,100,0.04
442,strong,116,6,100,1.16
443,whole,464,5,100,4.64
444,intricate,4,9,100,0.04
445,scale,115,5,100,1.15
446,defeat,9,6,100,0.09
447,columbian,1,9,100,0.01
448,investment,11,10,100,0.11
449,while,182,5,100,1.82
450,tolerate,28,8,100,0.28
451,rate,80,4,100,0.8
452,ideology,108,8,100,1.08
453,major,165,5,100,1.65
454,drug,547,4,100,5.47
